Processed_Text,Raw_Text,Label
someone weigh possibility next week 's bullish weather possible ru invasion storage number price recent spike saw wed cause position would like opinion side,"C a n   s o m e o n e   w e i g h   i n   i f   t h e r e   i s   a   p o s s i b i l i t y   t h a t   n e x t   w e e k ' s   b u l l i s h   w e a t h e r ,   p o s s i b l e   R U   i n v a s i o n ,   a n d   s t o r a g e   n u m b e r s   w e r e   p r i c e d   i n t o   t h e   r e c e n t   s p i k e   w e   s a w   o n   W e d ?   I f   n o t ,   w h a t   c a u s e d   i t ?   N o   p o s i t i o n s ,   j u s t   w o u l d   l i k e   o p i n i o n s   f r o m   b o t h   s i d e s .",0.5
weather yes russia invade n't matter atm co check dutch ttf 's near ath,"W e a t h e r   y e s ,   R u s s i a   i n v a d e s   d o e s n ' t   m a t t e r   a t m   c o s   c h e c k   D u t c h   T T F ,   i t ' s   n o   w h e r e   n e a r   A T H",0.5
empire destroyer hypothetically weather price along storage number russia actually n't invade ukraine would n't mean n't catalyst ng keep shoot,"E m p i r e   D e s t r o y e r   H y p o t h e t i c a l l y   i f   t h e   w e a t h e r   i s   p r i c e d   i n   a l o n g   w i t h   s t o r a g e   n u m b e r s ,   a n d   R u s s i a   a c t u a l l y   d o e s n ' t   i n v a d e   U k r a i n e ,   w o u l d n ' t   i t   m e a n   t h a t   t h e r e   a r e n ' t   a n y   c a t a l y s t s   f o r   N G   t o   k e e p   s h o o t i n g   u p ?",0
natty open monday plus500 gap,N a t t y   w i l l   b e   o p e n   m o n d a y   a t   p l u s 5 0 0 .   W i l l   i t   g a p   t h e n ?,0.5
44 🤔,4 . 4   🤔  ,1
manipulated trash,M a n i p u l a t e d   t r a s h .  ,0
u figure,n o w   u   f i g u r e d   i t   o u t  ,0.5
bend like beckham,b e n d   i t   l i k e   B e c k h a m,0.5
come 09,c o m e   o n   0 . 9,0
buy order 540 think go next week,"B u y   o r d e r   a t   5 . 4 0 ,   I   t h i n k   w e   g o   u p   n e x t   w e e k   n o w .",1
540,5 4 0,1
next week also rollover 🚀,n e x t   w e e k   i s   a l s o   t h e   r o l l o v e r   🚀  ,0.5
full margin,F u l l   m a r g i n,1
wow,W o w,0.5
okjust tell much geta small percentage 'm greedythe gesture matter lol putt u right way,o k . . . j u s t   t e l l   m e   h o w   m u c h   d o   I   g e t . . a   s m a l l   p e r c e n t a g e   I ' m   n o t   g r e e d y . . . t h e   g e s t u r e   m a t t e r s   l o l   I   p u t t e d   u   o n   t h e   r i g h t   w a y  ,0.5
brief afternoon update mention new ec model finish little cold next week still solidly frigid pattern eastern -1/0 us jan 00-07 also several hdds cold gfs important period however late ec still fade cold air jan 08-10 towards seasonal noticeably difference compare midday gfs linger cold normal temperature northern us long continue strong demand either gfs cold jan 08-1-1 ec warm gap high weekend break expect depend model prove correct view pattern 's reasonable risk cold air linger long across northern us late ec see close gfs show course 's risk sit long holiday weekend since 's likely violent feast famine open,"b r i e f   a f t e r n o o n   u p d a t e   t o   m e n t i o n   t h e   n e w   E C   m o d e l   j u s t   f i n i s h i n g   w a s   a   l i t t l e   c o l d e r   f o r   n e x t   w e e k   a n d   s t i l l   s o l i d l y   f r i g i d   w i t h   t h e   p a t t e r n   o v e r   t h e   e a s t e r n   -1 / 0   o f   t h e   U S   J a n   0 0 - 0 7 ,   w h i l e   a l s o   s e v e r a l   H D D s   c o l d e r   t h a n   t h e   G F S   f o r   t h i s   i m p o r t a n t   p e r i o d .   H o w e v e r ,   t h e   l a t e s t   E C   s t i l l   f a d e s   c o l d   a i r   J a n   0 8 - 1 0   t o w a r d s   s e a s o n a l .   T h i s   i s   n o t i c e a b l y   d i f f e r e n c e   c o m p a r e d   t o   t h e   m i d d a y   G F S   t h a t   l i n g e r s   c o l d e r   t h a n   n o r m a l   t e m p e r a t u r e s   o v e r   t h e   n o r t h e r n   U S   l o n g e r   f o r   c o n t i n u e d   s t r o n g   d e m a n d .   S o ,   e i t h e r   t h e   G F S   i s   t o o   c o l d   f o r   J a n   0 8 - 1 -1   o r   t h e   E C   t o o   w a r m .   A   g a p   h i g h e r   a f t e r   t h e   w e e k e n d   b r e a k   s h o u l d   b e   e x p e c t e d   d e p e n d i n g   o n   w h i c h   m o d e l   p r o v e s   m o r e   c o r r e c t .   T o   o u r   v i e w ,   t h e   p a t t e r n   i s   s u c h   w h e r e   t h e r e ' s   r e a s o n a b l e   r i s k   c o l d   a i r   l i n g e r s   l o n g e r   a c r o s s   t h e   n o r t h e r n   U S   t h a n   t h e   l a t e s t   E C   w a s   s e e i n g   a n d   c l o s e r   t o   w h a t   t h e   G F S   i s   s h o w i n g .   O f   c o u r s e ,   t h e r e ' s   n o   r i s k   b y   s i t t i n g   o u t   t h e   l o n g   h o l i d a y   w e e k e n d   s i n c e   i t ' s   l i k e l y   t o   b e   a   v i o l e n t   f e a s t   o r   f a m i n e   o p e n .  ",1
wow scientist think everybody rush buy read post,W o w !   Y o u   a r e   s u c h   a   s c i e n t i s t !   I   t h i n k   e v e r y b o d y   w i l l   n o w   r u s h   t o   b u y   a f t e r   r e a d i n g   y o u r   p o s t .,0.5
n't think know,D o n ' t   t h i n k   . . . y o u   k n o w  ,0.5
main chart turn bullish,M a i n   c h a r t s   t u r n   b u l l i s h  ,1
0 min leave,0   m i n   l e f t  ,0.5
buy guy,B u y   g u y s  ,1
